logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
av boa viagem;6592;apto 0501 edf porto de alexandria;1050000,00;Boa Viagem;Recife;PE;1996;894,49;191,1;0,04166;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-14;Bom;Apartamento;0,00;11720;-8.146408;-34.906118;2025
rua setubal;1663;apto 0802 edf andre luiz;881959,07;Boa Viagem;Recife;PE;1981;992,4;294,31;0,04768;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-01;Bom;Apartamento;0,00;55093;-8.1462;-34.906363;2025
rua setubal;1597;apto 2101 edf costa dos diamantes;900000,00;Boa Viagem;Recife;PE;2012;1105,49;175,53;0,02083;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-05;Bom;Apartamento;400000,00;55093;-8.145904;-34.906167;2025
rua setubal;1597;apto 2101 edf costa dos diamantes;900000,00;Boa Viagem;Recife;PE;2012;1105,49;175,53;0,02083;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-16;Bom;Apartamento;400000,00;55093;-8.145904;-34.906167;2025
rua setubal;1597;apto 1001 edf costa dos diamantes;890000,00;Boa Viagem;Recife;PE;2012;1105,49;175,53;0,02083;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-03-27;Bom;Apartamento;0,00;55093;-8.145904;-34.906167;2025
rua setubal;1497;apto 205 edf costa vicentina;320000,00;Boa Viagem;Recife;PE;2020;671,05;54,55;0,01653;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-09;Bom;Apartamento;250000,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 204 edf costa vicentina;300000,00;Boa Viagem;Recife;PE;2020;671,05;54,55;0,01653;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-10;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 406 edf costa vicentina;320000,00;Boa Viagem;Recife;PE;2020;671,05;53,88;0,01633;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-05;Bom;Apartamento;184860,78;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 305 edf costa vicentina;305000,00;Boa Viagem;Recife;PE;2020;671,05;54,55;0,01653;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-13;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 202 edf costa vicentina;300000,00;Boa Viagem;Recife;PE;2020;671,05;53,88;0,01633;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-13;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 905 edf costa vicentina;360000,00;Boa Viagem;Recife;PE;2020;671,05;53,51;0,01622;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-14;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 606 edf costa vicentina;340000,00;Boa Viagem;Recife;PE;2020;671,05;53,88;0,01633;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-14;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
rua setubal;1497;apto 903 edf costa vicentina;330000,00;Boa Viagem;Recife;PE;2020;671,05;60,6;0,01837;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-06-13;Bom;Apartamento;0,00;55093;-8.145261;-34.905832;2025
av boa viagem;6636;garagem 0402 edf portinari;56680,00;Boa Viagem;Recife;PE;1972;1511;19,04;0,00215;Superior;Edificação Garagem;RESIDENCIAL;2025-07-04;Bom;Garagem Residencial;0,00;11720;-8.146747;-34.906272;2025
av boa viagem;6636;apto 0401 edf portinari;800000,00;Boa Viagem;Recife;PE;1972;1511;269,3;0,03049;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-05;Bom;Apartamento;0,00;11720;-8.146747;-34.906272;2025
av boa viagem;6636;garagem 0401 edf portinari;150000,00;Boa Viagem;Recife;PE;1972;1511;19,04;0,00215;Superior;Edificação Garagem;RESIDENCIAL;2025-11-05;Bom;Garagem Residencial;0,00;11720;-8.146747;-34.906272;2025
av boa viagem;6636;apto 0402 edf portinari;800000,00;Boa Viagem;Recife;PE;1972;1511;249,7;0,02827;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-04;Bom;Apartamento;0,00;11720;-8.146747;-34.906272;2025
av boa viagem;6666;apto 0102 edf bariloche;2700000,00;Boa Viagem;Recife;PE;1976;1237,5;297;0,0399;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-27;Bom;Apartamento;0,00;11720;-8.146998;-34.906386;2025
av boa viagem;6688;apto 0202 edf equinocio;1382000,00;Boa Viagem;Recife;PE;1979;1595,08;305,23;0,03382;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;0,00;11720;-8.147218;-34.906485;2025
av boa viagem;6688;apto 0402 edf equinocio;800000,00;Boa Viagem;Recife;PE;1979;1595,08;305,23;0,03382;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-29;Bom;Apartamento;0,00;11720;-8.147218;-34.906485;2025
rua setubal;1765;apto 0401 edf serrambi;690000,00;Boa Viagem;Recife;PE;1975;390;150,87;0,15439;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;360000,00;55093;-8.147064;-34.906781;2025
rua almirante saldanha da gama;43;apto 0011 ed amaralina;95000,00;Boa Viagem;Recife;PE;1979;560;90,74;0,16666;Médio;Apartamento <= 4 Pavimentos;RESIDENCIAL;2025-10-13;Bom;Apartamento;0,00;53392;;;2025
rua almirante saldanha da gama;43;apto 0011 ed amaralina;200000,00;Boa Viagem;Recife;PE;1979;560;90,74;0,16666;Médio;Apartamento <= 4 Pavimentos;RESIDENCIAL;2025-07-10;Bom;Apartamento;0,00;53392;;;2025
